Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count
Massachusetts	212	145	0	0	4.16	2.3284	1.73	2.1644	4.0
misunderstand	168	145	166	145	3.29	2.2279	1.73	2.1644	4.0
recovering	155	145	144	135	3.04	2.1931	1.73	2.1644	4.0
stupidity	163	145	149	135	3.2	2.2148	1.73	2.1644	4.0
condolences	162	144	149	134	3.18	2.2122	1.72	2.1614	4.0
diplomatic	256	144	225	128	5.02	2.4099	1.72	2.1614	4.0
Preferably	152	144	68	67	2.98	2.1847	1.72	2.1614	4.0
expedition	289	143	255	132	5.67	2.4624	1.7	2.1584	4.0
preposterous	155	143	129	122	3.04	2.1931	1.7	2.1584	4.0
Republican	206	142	26	23	4.04	2.316	1.69	2.1553	4.0
undoubtedly	171	142	120	105	3.35	2.2355	1.69	2.1553	4.0
Caribbean	197	141	1	1	3.86	2.2967	1.68	2.1523	4.0
